"stco","whc","sand","silt","clay","om","kwfactor","kffactor","spH","slope","tfactor"
31105,14.7274152481806,66.0602153178602,21.8257005508129,12.114084131327,97.3343614379435,0.246969767459208,0.260931923163008,7.53299420890399,70.1342851096175,3.13234398346171
31107,33.1893665991872,21.7290501987622,54.8680696983464,23.4028801028913,184.694190539,0.389095220245605,0.389269308148446,7.35645117622468,59.3592696131865,4.65684418404494
31109,33.3483346766427,10.084697714915,56.2442129316298,33.6710893534552,202.567571898284,0.382054968127427,0.382774559499756,6.81701435094489,59.6609411555665,4.95382627021869
31111,24.4610382303522,54.6615575273676,31.7356466006726,13.6027958719599,132.432214644205,0.28596326259749,0.286681498312166,7.40963569316111,60.5613980259929,4.77430771878918
31113,25.3331465254341,52.4580965111146,33.9605110993932,13.5813923894922,122.518446530059,0.311706692373279,0.311706692373279,7.17399460983354,63.7205804693625,4.93724729936426
31115,24.5412954302799,58.3105688537846,30.1783795115119,11.5110516347035,110.383444083692,0.317046449571198,0.317046449571198,7.11533444595307,67.6445576757964,4.94473507257676
31117,17.5603403633449,90.308884733091,4.59539146151314,5.09572380539584,102.994966997129,0.0860797905366278,0.0860797905366278,6.77562050962717,54.3867694001178,4.93668265063616
31119,33.471557059374,23.9342677003265,53.3696069373883,22.6961253622852,163.989534149847,0.381899999932479,0.382272720343257,7.38516523488008,56.4236067144764,4.9199708065839
31121,21.084715011995,62.6314152257003,25.2729363448831,12.0956484294166,152.353554840242,0.232197254414699,0.232717480587127,7.12841990924749,74.2378437681055,4.07871868205893
31123,21.3152132178375,63.7679685624492,25.4588728021661,10.7731586353846,109.439397393611,0.347994482804494,0.351524594222848,7.60758755049155,70.8312416408888,4.88737662826055
31125,30.1177277288408,27.2208650271757,51.6636741201208,21.1154608527035,156.951322963626,0.386458375658625,0.386557806467133,7.35374086581537,66.2719141974776,4.7564188774056
31127,31.9062191753751,11.0689586130222,57.8586608261472,31.0723805608306,183.367101472083,0.403200894535556,0.40484281899039,6.92160148026373,58.9429154607607,4.95449803036001
31129,35.8608236853671,12.8336218182653,59.3251138178339,27.8412643639008,184.397573399261,0.431027413949387,0.431035585111412,7.22204546105659,65.1088502384141,4.85230862763115
31131,33.4897926374743,11.4921841553782,54.8761133454215,33.6317024992003,215.532553290705,0.377450727801758,0.378277354990369,6.95363204312878,56.2043952104705,4.9726315066756
31133,30.7887467595533,15.0291052026864,49.819019346527,35.1518754507866,212.165216394983,0.345681193041683,0.351817111743436,6.94598404281307,59.3532576955537,4.83421773419056
31135,23.7014568919475,47.6358691205553,35.6692277681736,16.6949031112711,145.516932319514,0.362527737414419,0.362609844957703,7.52990969324968,72.8918169788376,4.52371158181388
31137,37.0787875533567,17.3432377578411,61.6543466733107,21.0024155688482,132.043890471114,0.471964590980832,0.472423262946532,7.65898161650955,65.1569527837636,4.87882503344657
