stco,state,year,corn,gdd,edd,ppt,whc,om,spH,clay,slope,dsci_jul,soil_jul,pr_jul,tmmx_jul
17087,17,1981,91.0,139.3,22.3,812.8715,28.7901,70.9401,5.2036,22.8618,36.7008,,1678.778,176.648,314.137
17089,17,1981,136.0,137.9,3.6,750.9396,26.1799,510.6587,6.965,25.0832,77.6671,,250.304,100.714,271.388
17091,17,1981,123.0,138.6,6.4,877.2169,20.5003,231.7778,7.083,23.0786,47.3926,,615.573,125.906,279.339
17093,17,1981,125.0,138.9,5.2,804.9318,24.6677,269.3041,7.039,28.7229,70.2931,,287.416,109.012,276.261
17095,17,1981,135.0,143.4,5.6,844.6552,30.4124,161.0513,6.2966,28.5648,147.7685,,1101.062,157.439,281.89
17097,17,1981,112.0,135.2,2.8,703.7724,22.4043,748.5609,7.4154,30.7784,52.5205,,632.575,98.344,251.487
17099,17,1981,130.0,140.3,6.1,846.113,26.7979,245.1778,6.8423,30.9343,87.2059,,503.816,113.127,278.17
17101,17,1981,99.0,136.0,20.3,792.4763,25.0571,142.1905,5.9792,25.2844,52.2261,,554.441,117.162,309.576
17103,17,1981,136.0,138.5,4.3,821.1475,25.4742,226.736,6.7194,23.5313,93.9554,,263.629,85.095,272.788
17105,17,1981,126.0,140.6,7.1,852.996,20.8151,242.248,7.1996,35.5696,57.4196,,804.102,144.974,281.688
17107,17,1981,134.0,143.6,9.1,1002.8568,30.2693,251.3217,6.7111,27.4309,141.3173,,1338.604,211.376,294.834
17109,17,1981,127.0,144.6,7.5,963.3453,30.029,182.1313,6.4726,29.3851,161.0586,,1333.639,238.355,290.23
17111,17,1981,125.0,136.2,3.7,685.5784,26.0646,664.5874,7.0734,20.9986,56.9034,,246.61,98.963,267.731
17113,17,1981,129.0,141.6,8.6,963.7209,25.9739,230.5758,6.8997,28.5373,112.987,,1144.19,169.528,286.278
17115,17,1981,144.0,143.2,10.3,956.8495,26.6173,260.7997,6.8535,28.3056,111.8848,,1313.32,198.755,296.953
17117,17,1981,130.0,142.2,14.2,846.017,32.3757,172.3767,6.4323,30.3051,97.9915,,1526.296,249.279,300.405
17119,17,1981,121.0,140.0,19.5,796.4577,35.1647,160.9381,6.4059,28.2803,63.1583,,1482.182,230.061,303.436
17121,17,1981,105.0,139.5,18.3,758.0973,28.0991,79.632,6.0147,27.6323,72.4655,,1107.21,163.776,308.395
17123,17,1981,129.0,141.6,7.0,889.5155,31.4315,204.7337,6.8001,28.5234,90.4361,,768.384,129.233,285.134
17125,17,1981,122.0,142.7,10.3,926.2307,22.9245,234.9066,6.4051,15.3865,65.0247,,1335.715,237.99,294.392
17127,17,1981,89.0,137.9,25.0,798.3481,33.2676,101.598,5.4889,24.4907,39.5949,,1806.691,183.244,318.207
17129,17,1981,137.0,144.5,8.8,936.0855,31.5098,206.0889,6.6022,25.2105,119.9601,,1337.659,238.68,294.418
17131,17,1981,134.0,144.1,5.9,797.2199,30.666,181.8529,6.3092,25.7528,85.7217,,596.445,125.368,280.715
17133,17,1981,112.0,136.3,24.8,937.9787,32.7128,130.6142,6.2953,27.4826,51.3093,,1324.192,219.337,310.609
17135,17,1981,134.0,141.3,14.8,813.7173,33.5664,171.1873,6.4569,30.2608,76.2772,,1473.388,206.278,304.181
17137,17,1981,143.0,143.0,10.7,911.0526,30.0589,175.7218,6.5025,28.017,151.9391,,1383.487,278.036,295.014
17139,17,1981,150.0,142.9,10.6,880.3229,25.6598,235.2862,6.8031,27.7623,86.6391,,1106.329,171.273,297.917
17141,17,1981,129.0,138.1,3.9,764.5355,27.6748,188.5724,6.4265,25.989,93.641,,205.997,76.528,270.409
17143,17,1981,126.0,143.3,6.4,906.8418,29.4245,149.1758,6.55,27.2602,131.1335,,1131.244,151.021,284.301
17145,17,1981,84.0,138.2,22.2,892.0191,30.4557,88.479,5.8988,27.0721,55.1192,,1277.282,185.317,313.695
17147,17,1981,136.0,142.6,8.6,946.1997,26.1696,256.3124,6.8831,28.3667,114.7291,,1109.978,183.143,292.891
17149,17,1981,119.0,143.1,11.7,1016.1535,34.9845,152.3553,6.3316,24.566,65.7313,,1327.354,289.331,297.133
17151,17,1981,75.0,139.0,22.8,819.2107,29.5341,83.8579,5.2012,24.4151,41.8326,,1729.081,179.955,314.563
17153,17,1981,92.0,138.1,25.6,797.0646,34.612,113.7244,5.7651,25.4076,42.3208,,1674.701,183.236,318.35
17155,17,1981,125.0,140.4,7.6,866.2855,27.718,215.1271,6.5059,26.716,115.0985,,549.726,118.261,285.299
17157,17,1981,99.0,136.1,24.5,879.7709,33.7757,111.9351,6.258,27.7524,53.5032,,1366.205,220.476,313.563
17159,17,1981,100.0,138.3,17.9,740.145,29.498,86.6964,5.5447,27.1262,63.4038,,609.894,121.655,308.989
17161,17,1981,134.0,142.8,5.9,778.0449,30.4538,181.2022,6.3744,24.1738,72.1028,,395.416,108.888,278.947
17163,17,1981,112.0,136.9,24.0,899.7756,35.336,134.6724,6.3636,28.1494,60.0615,,1311.088,220.089,307.146
17165,17,1981,81.0,138.1,22.6,770.0812,25.6709,105.5438,5.6912,26.6021,45.0881,,1361.053,162.353,315.786
17167,17,1981,147.0,143.6,10.6,946.9794,29.8471,220.2724,6.6061,29.5284,164.8166,,1414.419,233.872,297.619
17169,17,1981,123.0,144.3,9.1,994.8038,31.6807,137.9796,6.3287,28.7368,125.3764,,1332.843,273.966,293.893
17171,17,1981,130.0,141.5,12.8,914.629,31.3049,161.1097,6.4643,27.5742,107.8568,,1371.274,279.129,297.241
17173,17,1981,136.0,142.2,12.7,830.478,27.0169,159.3038,6.2615,28.538,108.2059,,1055.536,166.918,301.271
17175,17,1981,136.0,142.5,5.7,844.7605,29.4444,195.1762,6.5117,27.6063,121.1334,,750.823,122.522,281.902
17177,17,1981,126.0,137.8,3.8,795.1578,27.5705,187.3299,6.18,28.1731,81.5634,,175.244,73.477,271.294
17179,17,1981,132.0,143.0,8.6,951.8309,28.1084,235.6052,6.556,25.2096,132.88,,1275.622,183.573,289.002
17181,17,1981,100.0,138.5,23.5,827.4185,32.1046,110.8032,6.0593,23.9589,39.2512,,1612.168,183.724,315.051
17183,17,1981,126.0,140.4,9.2,936.0075,22.895,220.9929,6.9922,30.7312,68.3723,,1016.736,174.388,286.468
17185,17,1981,97.0,135.8,21.6,784.925,28.4216,129.3808,6.0415,24.7063,60.5276,,553.666,121.948,312.196
17187,17,1981,136.0,144.2,6.1,860.6665,30.2061,195.7286,6.2478,28.3763,140.5053,,1197.675,174.023,284.71
17189,17,1981,98.0,138.6,20.7,859.0386,31.9946,101.3129,6.1981,27.7614,56.1512,,1282.295,184.063,309.436
17191,17,1981,96.0,136.8,21.1,715.8105,27.1469,87.2115,5.4419,27.0888,68.0397,,675.794,133.928,311.733
17193,17,1981,95.0,135.9,23.3,719.0167,29.7336,125.0959,5.9764,24.6748,56.0094,,725.409,132.971,314.833
17195,17,1981,133.0,140.2,5.7,815.1748,27.2737,270.0164,6.5012,19.7869,63.4623,,274.756,84.435,277.919
17197,17,1981,116.0,139.1,5.7,868.1352,20.184,227.692,7.2654,30.6517,49.2558,,437.534,117.957,276.479
17199,17,1981,87.0,138.2,22.1,795.463,26.8986,79.4096,5.3164,25.8178,34.5381,,1497.153,173.895,313.448
17201,17,1981,122.0,137.5,4.0,696.4339,25.6513,221.9438,6.4934,24.5811,81.9465,,182.079,77.242,272.754
