stco,year,gdd,edd
8025,1981,123.0,32.0
8027,1981,124.4,1.7
8029,1981,123.6,24.5
8031,1981,127.5,18.7
8033,1981,114.1,6.7
8035,1981,127.4,10.0
8037,1981,115.9,2.8
8039,1981,127.2,11.7
8041,1981,129.8,10.0
8043,1981,132.1,15.9
8045,1981,122.8,13.6
8049,1981,102.8,0.2
8051,1981,108.6,0.5
8053,1981,97.1,0.1
8055,1981,132.5,9.3
8057,1981,98.6,0.0
8059,1981,129.0,13.8
8061,1981,124.7,29.1
8063,1981,126.1,20.6
8065,1981,89.2,0.0
8067,1981,122.4,11.0
8069,1981,124.9,14.6
8071,1981,132.3,18.1
8073,1981,126.4,15.8
8075,1981,124.6,18.9
8077,1981,121.4,27.8
8079,1981,93.6,0.0
8081,1981,118.5,7.1
8083,1981,123.3,12.3
8085,1981,124.8,21.4
8087,1981,124.4,21.7
8089,1981,122.7,34.8
8091,1981,122.5,2.3
8093,1981,96.8,0.0
8095,1981,127.7,18.9
8097,1981,116.7,0.8
8099,1981,123.3,34.4
8101,1981,126.9,26.7
8103,1981,118.4,6.8
8105,1981,122.8,1.1
8107,1981,112.7,2.5
8109,1981,124.0,1.5
8111,1981,73.6,0.0
8113,1981,121.7,6.5
8115,1981,127.8,20.5
8117,1981,96.7,0.0
8119,1981,103.7,0.0
8121,1981,125.0,18.0
8123,1981,125.3,19.7
8125,1981,125.8,21.5
9001,1981,135.7,8.0
9003,1981,134.5,8.2
9005,1981,134.8,3.6
9007,1981,134.5,8.0
9009,1981,135.4,7.6
9011,1981,135.4,6.4
9013,1981,135.0,4.7
9015,1981,134.5,5.6
10001,1981,138.8,14.8
10003,1981,138.1,14.6
10005,1981,137.6,16.4
12001,1981,121.1,59.0
12003,1981,121.7,57.3
12005,1981,129.0,50.3
12007,1981,122.2,57.6
12009,1981,121.8,61.1
12011,1981,118.4,65.4
12013,1981,124.0,55.1
12015,1981,115.6,67.4
12017,1981,120.7,61.2
12019,1981,124.9,55.9
12021,1981,115.9,67.4
12023,1981,120.4,58.9
12027,1981,115.8,66.8
12029,1981,124.5,54.7
12031,1981,124.0,56.6
12033,1981,129.1,50.0
12035,1981,121.2,60.8
12037,1981,131.1,49.2
12039,1981,129.0,50.0
12041,1981,122.8,56.6
12043,1981,115.2,67.8
12045,1981,125.8,53.9
12047,1981,122.0,57.0
12049,1981,115.4,67.1
12051,1981,114.3,68.8
12053,1981,119.4,62.3
12055,1981,115.0,67.7
12057,1981,118.2,64.7
12059,1981,127.2,51.0
12061,1981,119.5,63.5
12063,1981,124.8,54.0
12065,1981,127.7,50.9
12067,1981,122.0,57.0
12069,1981,116.6,65.4
12071,1981,116.0,67.2
12073,1981,125.5,53.1
12075,1981,122.4,57.8
12077,1981,123.5,55.7
12079,1981,122.7,56.3
12081,1981,120.5,62.4
12083,1981,119.7,61.3
12085,1981,120.8,62.7
12086,1981,122.1,61.7
12087,1981,136.4,47.5
12089,1981,126.2,54.0
12091,1981,126.1,52.2
12093,1981,119.8,63.2
12095,1981,116.6,66.0
12097,1981,117.2,65.5
12099,1981,121.4,62.2
12101,1981,115.7,66.5
12103,1981,126.1,57.3
12105,1981,113.3,69.3
12107,1981,124.0,57.3
12109,1981,129.9,51.4
12111,1981,122.1,61.1
12113,1981,127.8,51.4
12115,1981,118.9,64.2
12117,1981,118.1,64.5
12119,1981,116.9,64.4
12121,1981,120.4,58.7
12123,1981,127.0,52.3
12125,1981,120.7,58.9
12127,1981,121.8,60.6
12129,1981,124.4,54.6
12131,1981,126.8,51.5
12133,1981,126.9,51.5
13001,1981,123.2,54.2
13003,1981,122.7,55.0
13005,1981,122.5,54.9
13007,1981,123.3,54.4
13009,1981,126.8,46.9
13011,1981,138.2,30.6
13013,1981,138.2,33.1
13015,1981,138.9,30.6
13017,1981,126.5,51.3
13019,1981,125.3,52.9
13021,1981,128.7,47.1
13023,1981,124.0,51.8
13025,1981,120.5,56.9
13027,1981,124.4,54.4
13029,1981,125.2,52.0
13031,1981,123.8,52.7
13033,1981,128.0,45.6
13035,1981,133.1,40.1
13037,1981,128.1,49.3
13039,1981,125.5,53.2
13043,1981,123.1,53.3
13045,1981,140.0,30.2
13047,1981,136.5,30.9
13049,1981,120.0,58.4
13051,1981,127.2,50.5
13053,1981,127.2,47.9
13055,1981,136.2,31.3
13057,1981,144.0,25.6
13059,1981,135.1,36.3
13061,1981,128.5,48.6
13063,1981,136.6,35.1
13065,1981,122.8,55.1
13067,1981,141.7,28.0
13069,1981,122.9,54.6
13071,1981,124.8,54.0
13073,1981,128.9,43.1
13075,1981,125.3,53.2
13077,1981,135.6,36.8
13079,1981,129.1,46.4
13081,1981,124.3,53.2
13083,1981,141.8,22.6
13085,1981,145.8,21.2
13087,1981,122.7,56.1
13089,1981,138.5,32.7
13091,1981,122.8,54.1
13093,1981,124.4,52.1
13095,1981,123.0,53.8
13097,1981,141.1,29.9
13099,1981,124.2,53.8
13101,1981,122.8,56.0
13103,1981,125.4,51.4
13105,1981,134.0,35.6
13107,1981,124.9,50.9
13109,1981,123.9,52.5
13111,1981,143.5,16.6
13113,1981,137.6,34.0
13115,1981,136.3,33.0
13117,1981,144.3,24.5
13119,1981,136.6,32.9
13121,1981,140.1,30.5
13123,1981,145.4,18.6
13125,1981,130.2,42.7
13127,1981,124.2,54.8
13129,1981,136.8,31.5
13131,1981,126.4,52.6
13133,1981,131.5,40.9
13135,1981,141.1,29.3
13137,1981,144.4,20.9
13139,1981,144.4,24.1
13141,1981,129.8,43.0
13143,1981,142.8,26.2
13145,1981,131.4,42.4
13147,1981,135.4,34.7
13149,1981,134.8,36.5
13151,1981,135.7,36.3
13153,1981,126.5,49.5
13155,1981,126.3,51.8
13157,1981,137.3,33.1
13159,1981,130.6,43.3
13161,1981,124.6,52.9
13163,1981,127.7,46.1
13165,1981,125.6,49.5
13167,1981,125.6,49.2
13169,1981,128.9,45.4
13171,1981,134.0,39.6
13173,1981,124.8,53.5
13175,1981,123.3,52.3
13177,1981,124.1,53.0
13179,1981,123.2,54.6
13181,1981,129.0,42.3
13183,1981,122.6,55.3
13185,1981,124.3,54.4
13187,1981,146.3,19.2
13189,1981,130.2,41.8
13191,1981,123.0,55.4
13193,1981,126.3,49.7
13195,1981,135.5,34.6
13197,1981,130.0,45.5
13199,1981,133.7,39.2
13201,1981,121.8,56.6
13205,1981,124.2,53.8
13207,1981,129.9,44.6
13209,1981,124.7,52.1
13211,1981,133.2,39.7
13213,1981,135.8,31.6
13215,1981,127.1,48.2
13217,1981,134.3,38.3
13219,1981,135.3,36.7
13221,1981,133.3,37.6
13223,1981,140.8,28.9
13225,1981,128.6,47.2
13227,1981,145.6,21.6
13229,1981,119.4,57.5
13231,1981,135.7,37.2
13233,1981,137.9,31.7
13235,1981,122.0,54.1
13237,1981,129.7,43.6
13239,1981,128.1,47.9
13241,1981,151.1,9.3
13243,1981,128.3,48.4
13245,1981,127.8,45.3
13247,1981,136.0,35.8
13249,1981,128.4,47.4
13251,1981,125.5,50.3
13253,1981,120.0,59.0
13255,1981,136.9,35.3
13257,1981,138.2,30.7
13259,1981,128.7,46.7
13261,1981,126.2,50.4
13263,1981,131.2,43.4
13265,1981,130.7,40.8
13267,1981,123.3,53.8
13269,1981,128.9,46.3
13271,1981,124.7,52.5
13273,1981,126.6,50.1
13275,1981,125.6,53.3
13277,1981,126.5,51.8
13279,1981,124.0,53.1
13281,1981,149.5,8.6
13283,1981,124.5,51.7
13285,1981,132.2,40.6
13287,1981,128.0,50.2
13289,1981,126.6,49.3
13291,1981,147.5,11.2
13293,1981,132.1,42.1
13295,1981,138.5,28.5
13297,1981,136.5,35.4
13299,1981,118.9,58.2
13301,1981,131.0,41.3
13303,1981,129.3,44.3
13305,1981,122.1,55.8
13307,1981,128.6,47.4
13309,1981,124.5,52.3
13311,1981,145.2,19.6
13313,1981,136.2,31.1
13315,1981,125.0,52.2
13317,1981,130.5,40.4
13319,1981,125.6,48.9
13321,1981,125.9,52.2
16001,1981,124.2,24.2
16003,1981,107.7,13.4
16005,1981,116.4,15.6
16007,1981,104.3,9.4
16009,1981,114.6,6.9
16011,1981,117.5,14.8
16013,1981,107.1,15.0
16015,1981,116.7,19.2
16017,1981,115.4,4.3
16019,1981,114.2,9.2
16021,1981,121.7,5.7
16023,1981,111.5,10.1
16025,1981,101.7,12.4
16027,1981,126.1,24.2
16029,1981,108.0,9.1
16031,1981,118.0,18.0
16033,1981,107.9,8.5
16035,1981,120.9,8.6
16037,1981,105.0,5.9
16039,1981,119.8,27.5
16041,1981,115.2,18.4
16043,1981,110.5,5.4
16045,1981,125.5,24.4
16047,1981,120.0,27.0
16049,1981,118.2,7.2
16051,1981,114.5,13.7
16053,1981,119.0,22.1
16055,1981,119.0,6.7
16057,1981,118.2,7.7
16059,1981,107.7,6.5
16061,1981,113.4,5.0
16063,1981,115.4,21.7
16065,1981,113.4,8.7
16067,1981,118.2,19.6
16069,1981,126.1,11.9
16071,1981,112.1,19.4
16073,1981,123.6,25.1
16075,1981,126.7,25.7
16077,1981,115.5,16.3
16079,1981,111.6,6.6
16081,1981,104.4,1.6
16083,1981,121.7,18.1
16085,1981,95.0,4.3
16087,1981,121.0,25.1
17001,1981,144.9,9.3
17003,1981,137.3,26.8
17005,1981,140.3,18.1
17007,1981,136.9,4.0
17009,1981,144.6,9.2
17011,1981,140.2,6.4
