stco,year,soil_jul,vpd_jul,pr_jul,tmmx_jul
18153,1981,721.651,100.413,138.129,305.184
18021,1981,1001.93,93.132,172.126,299.108
18083,1981,691.378,103.839,124.316,308.007
18169,1981,446.077,89.454,109.49,280.662
18085,1981,570.441,89.547,130.66,277.204
18027,1981,995.418,101.554,127.942,306.313
18093,1981,943.138,94.276,114.123,299.693
18119,1981,915.508,90.454,165.037,296.111
18105,1981,789.71,90.156,132.762,294.44
18073,1981,645.073,83.549,125.889,281.541
18111,1981,739.893,82.977,131.047,282.062
18089,1981,716.046,82.097,120.665,276.017
18127,1981,798.65,81.298,123.666,273.913
18091,1981,802.927,84.199,125.902,272.786
18115,1981,604.152,101.118,108.657,298.878
18161,1981,518.875,90.491,124.924,290.624
18029,1981,571.643,98.833,117.298,297.349
18005,1981,335.624,94.341,96.04,295.532
18107,1981,800.146,84.537,173.051,290.452
18031,1981,448.88,92.47,107.056,292.261
18057,1981,434.754,87.613,136.509,284.177
18081,1981,289.182,90.195,127.304,289.597
18059,1981,389.664,88.968,133.399,284.862
18013,1981,504.246,90.087,114.924,292.762
18109,1981,421.323,88.866,150.64,291.518
18095,1981,431.614,87.397,123.125,281.284
18133,1981,964.24,87.17,191.701,292.94
18063,1981,611.782,86.551,170.616,288.678
18011,1981,592.583,85.175,156.302,286.671
18145,1981,319.239,92.25,116.817,290.39
18035,1981,443.115,87.248,108.98,280.295
18065,1981,442.49,84.597,120.946,282.072
18079,1981,499.455,96.81,97.127,298.015
18071,1981,554.637,96.233,99.619,299.461
18067,1981,496.073,86.067,120.757,280.658
18103,1981,501.341,88.346,112.085,279.531
18023,1981,515.928,84.332,138.158,284.502
18007,1981,769.086,81.083,140.722,282.633
18157,1981,584.712,84.13,138.813,286.696
18015,1981,588.855,85.546,121.067,284.32
18143,1981,610.732,100.098,98.812,302.269
18043,1981,581.072,100.049,116.866,299.876
18061,1981,707.59,99.242,124.32,300.416
18019,1981,566.447,102.163,109.494,302.448
18175,1981,739.34,96.385,106.318,299.444
18077,1981,663.321,98.273,104.888,298.288
18151,1981,715.918,93.048,154.79,275.314
18033,1981,567.19,95.644,133.649,279.725
18001,1981,310.884,96.866,92.155,284.174
18003,1981,388.489,98.034,112.862,283.091
18179,1981,358.857,92.242,96.6,281.77
18183,1981,503.639,91.226,128.271,278.335
18069,1981,370.527,91.309,102.488,282.257
18113,1981,657.145,91.539,145.9,276.049
19149,1981,130.08,93.82,109.568,288.122
19193,1981,118.118,93.343,99.074,289.697
19027,1981,98.05,84.971,124.024,289.434
19061,1981,268.34,77.06,76.263,273.645
19101,1981,712.704,84.175,157.849,289.848
19187,1981,101.119,83.971,129.433,286.225
19111,1981,1097.199,84.063,201.301,288.497
19127,1981,125.044,76.686,128.324,282.093
19195,1981,372.758,84.62,149.035,278.03
19033,1981,473.35,84.936,152.853,279.864
19051,1981,1013.528,85.473,199.688,291.686
19179,1981,648.683,84.557,173.086,288.824
19041,1981,153.035,81.935,124.047,281.859
19059,1981,153.446,83.26,119.961,280.896
19021,1981,147.108,80.617,128.816,282.307
19013,1981,244.526,80.229,131.072,281.203
19075,1981,194.343,80.277,134.562,281.855
19017,1981,412.181,78.199,142.106,276.892
19085,1981,105.234,93.031,85.543,293.31
19129,1981,130.905,97.573,99.494,297.509
19155,1981,116.927,92.782,91.018,294.3
19123,1981,368.827,78.497,152.359,285.48
19125,1981,530.724,81.929,163.217,288.57
19053,1981,835.224,82.514,203.616,291.516
19031,1981,255.317,74.444,100.121,278.299
19151,1981,132.747,82.628,127.872,284.642
19109,1981,257.117,85.789,120.341,284.225
19089,1981,765.355,77.942,157.032,270.94
