"stco","year","ppt"
1001,1981,620.865552742901
1003,1981,679.832892379174
1005,1981,567.068221308882
1007,1981,561.390156440319
1009,1981,652.470394285202
1011,1981,551.044120166867
1013,1981,540.413366474834
1015,1981,571.914137557335
1017,1981,529.570035228786
1019,1981,625.759213726553
1021,1981,648.950550813379
1023,1981,582.662734866475
1025,1981,541.755074622382
1027,1981,597.974388741627
1029,1981,538.790512047334
1031,1981,562.344837129511
1033,1981,687.897540713415
1035,1981,591.694183847351
1037,1981,582.018036328908
1039,1981,579.320951495581
1041,1981,562.346468747767
1043,1981,666.871106304461
1045,1981,560.13368553719
1047,1981,539.683682381924
1049,1981,697.608690953627
1051,1981,604.09423125419
1053,1981,643.978657332032
1055,1981,634.146066922985
1057,1981,588.988692495425
1059,1981,662.951496491756
1061,1981,542.852453635365
1063,1981,523.031115332741
1065,1981,567.452192467026
1067,1981,561.604106177699
1069,1981,547.811339333176
1071,1981,717.545973140624
1073,1981,545.1855693295
1075,1981,535.691107082886
1077,1981,696.511176446053
1079,1981,644.867181353398
1081,1981,599.584407329371
1083,1981,683.801362115089
1085,1981,532.596413440141
1087,1981,598.274835042031
1089,1981,683.713831666317
1091,1981,537.931788515309
1093,1981,639.15145047237
1095,1981,729.423530985644
1097,1981,704.114728628285
1099,1981,585.508759255809
1101,1981,557.344204172932
1103,1981,663.624523623332
1105,1981,563.956206136951
1107,1981,486.777530470579
1109,1981,601.320411638697
1111,1981,522.438650863185
1113,1981,545.987971886541
1115,1981,601.391273920472
1117,1981,547.49219480438
1119,1981,559.299224892084
1121,1981,589.023611572607
1123,1981,579.308134605488
1125,1981,499.702578483487
1127,1981,583.452281047675
1129,1981,583.302356783135
1131,1981,543.729252368112
1133,1981,619.250790852209
4001,1981,224.623447669479
4003,1981,188.336028410315
4005,1981,302.271030098194
4007,1981,268.179888564663
4009,1981,150.534797936986
4011,1981,203.852125000807
4012,1981,48.6917308714115
4013,1981,46.7248389072938
4015,1981,84.2206529552723
4017,1981,192.462267616411
4019,1981,161.603203530442
4021,1981,72.5325662384768
4023,1981,345.275122313136
4025,1981,206.179720547829
4027,1981,24.2183964171553
5001,1981,685.36281634214
5003,1981,623.120420689416
5005,1981,567.103214231455
5007,1981,845.710916500333
5009,1981,794.204349042633
5011,1981,801.43711514425
5013,1981,838.892068513331
5015,1981,847.295499203085
5017,1981,583.099850282487
5019,1981,872.258367615078
5021,1981,638.278653330229
5023,1981,700.142628989963
5025,1981,798.310436847083
5027,1981,859.154806297854
5029,1981,777.047473717378
5031,1981,643.177778781055
5033,1981,833.897260911325
5035,1981,691.493663554414
5037,1981,698.1923767819
5039,1981,836.483422010911
5041,1981,697.471096264766
5043,1981,684.110631210691
5045,1981,785.703274849525
5047,1981,860.160106209723
5049,1981,587.680152494787
5051,1981,908.755375854595
5053,1981,748.510716949391
5055,1981,639.542755830518
5057,1981,836.812188745797
5059,1981,890.136638268694
5061,1981,874.19322209817
5063,1981,651.572198089043
5065,1981,639.078649655617
5067,1981,688.30508009568
5069,1981,732.368248762425
5071,1981,797.586510467629
5073,1981,849.451600829217
5075,1981,575.878718313787
5077,1981,710.328556400444
5079,1981,754.201227886101
5081,1981,904.608508158866
5083,1981,864.149984568996
5085,1981,759.953694843097
5087,1981,855.268788516875
5089,1981,711.133904086142
5091,1981,868.68650615432
5093,1981,758.608977482734
5095,1981,689.366461293395
5097,1981,1008.54382106401
5099,1981,814.568570941307
5101,1981,829.735423206477
5103,1981,845.449443379225
5105,1981,797.273954711864
5107,1981,724.536170488949
5109,1981,961.249777080676
5111,1981,642.219714473137
5113,1981,1071.73085020167
5115,1981,756.943578713108
5117,1981,765.460343313412
5119,1981,776.857344882276
5121,1981,581.960136833461
5123,1981,707.359753896956
5125,1981,774.304923807461
5127,1981,985.916660559701
5129,1981,745.745600110036
5131,1981,916.708723406984
5133,1981,882.131081323402
5135,1981,599.487633465919
5137,1981,699.805068809505
5139,1981,832.934042230809
5141,1981,734.808965277119
5143,1981,859.654106490851
5145,1981,811.571448948058
5147,1981,739.899888651347
5149,1981,817.995776027195
6001,1981,72.2937581973317
6003,1981,111.584865368406
6005,1981,136.113353438653
6007,1981,151.326191655379
6009,1981,119.579658936351
6011,1981,95.3091224426104
6013,1981,61.1377630989237
6015,1981,651.989404146683
6017,1981,198.616130154166
6019,1981,43.8957864015189
6021,1981,133.755354787713
6023,1981,270.704131892394
6025,1981,10.838392160457
6027,1981,50.2315195026801
6029,1981,40.0680352850678
6031,1981,40.1558073799852
6033,1981,171.168785074223
6035,1981,158.083780518748
6037,1981,22.1617344875084
6039,1981,49.3877912485661
6041,1981,99.6318917813574
6043,1981,108.29229339175
6045,1981,237.674574972366
6047,1981,46.0770542705565
6049,1981,163.844922059324
6051,1981,66.8363789822103
6053,1981,53.0536056054642
6055,1981,101.969410496743
6057,1981,200.946086456511
6059,1981,24.3273177505061
6061,1981,129.472480281878
6063,1981,204.301958051492
6065,1981,17.1697518638402
6067,1981,89.3584792617662
6069,1981,63.3824428981726
6071,1981,29.5738733653978
6073,1981,36.5390675949562
6075,1981,88.5748193003343
6077,1981,77.894549345853
6079,1981,43.3202701361259
6081,1981,98.3206921279545
6083,1981,31.2407095578108
6085,1981,64.6981844464259
6087,1981,71.6611972735891
6089,1981,238.084455287151
6091,1981,163.203078353871
6093,1981,131.449170973746
6095,1981,71.7030967177251
6097,1981,117.156213729597
6099,1981,51.494344167993
6101,1981,117.124917691412
6103,1981,193.681311633544
6105,1981,263.407818262181
6107,1981,46.9117522177646
6109,1981,135.2076030961
6111,1981,24.4686363999542
6113,1981,91.1419250172399
6115,1981,148.043215376057
8001,1981,271.906618134756
8003,1981,188.209301470513
8005,1981,285.517686745827
8007,1981,388.373744723964
8009,1981,279.040821926443
8011,1981,180.443890867686
8013,1981,271.340382177889
8014,1981,260.77983779695
8015,1981,232.241837478067
8017,1981,266.650747377586
8019,NA,NA
8021,1981,208.847363591495
8023,1981,230.480170223788
8025,1981,146.076787523954
8027,1981,320.51432290348
8029,1981,234.223669130515
8031,1981,274.797274200973
8033,1981,364.679103144113
8035,1981,353.254772052606
8037,1981,313.646535803357
8039,1981,295.78013441993
8041,1981,300.504660835001
8043,1981,262.765545221594
8045,1981,321.161757907298
8047,NA,NA
8049,1981,284.646191982938
8051,1981,300.751966096875
8053,1981,480.205814876309
8055,1981,359.974799885232
8057,1981,299.324066244581
8059,1981,290.174223954569
8061,1981,222.445830198369
8063,1981,300.499272400128
8065,1981,273.194730895888
8067,1981,297.619206194429
8069,1981,309.34760363841
8071,1981,354.906310463508
8073,1981,248.672414687165
8075,1981,379.635487898926
8077,1981,224.752342871237
8079,1981,492.412307566184
8081,1981,360.813709309776
8083,1981,275.34973687729
8085,1981,232.66682935609
8087,1981,312.354475382449
8089,1981,142.293028016143
8091,1981,406.584924992741
8093,1981,290.091920226467
8095,1981,436.242885140889
8097,1981,333.498204988547
8099,1981,223.31420590249
8101,1981,225.854095919459
8103,1981,354.519277425235
8105,1981,197.514481118926
8107,1981,388.524023858119
8109,1981,207.878066479913
8111,1981,642.919528328025
8113,1981,367.248894006458
8115,1981,402.537222666699
8117,1981,300.309877910259
