state,available_land_acres,water_budget_acre_in
IA,14535295.06,28024048.875680003
IL,13423522.860000001,27330292.542960003
IN,7311613.320000001,14476994.373600002
KS,15127039.730000002,163977110.6732
MN,11653108.830000002,35868268.97874001
MO,7818916.050000001,27069087.3651
ND,15046715.750000002,37376041.92300001
NE,10527508.75,148690533.585
OH,6147566.040000001,9073807.475040002
SD,9481824.0,37301495.616000004
TX,13450444.480000002,171439365.34208003
WI,5018191.86,15245266.870680002
